"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30"
"ANSP_206718",-0.272910533793927,-0.0923898032822145,0.0242300008981945,-0.0164927172731406,-0.0128599383674481,-0.0366383447028805,-0.0281118301965919,0.0437802858780612,-0.071792736678562,0.0229461392889986,-0.0432231328479101,0.00670160127562969,0.0172061748537248,-0.0104160317379236,0.00499590054807591,0.0317316243376477,-0.00100241924421325,-0.00236084343529114,-0.0113152389326912,-0.0160908637982177,-0.0136451414995409,-0.011448647638042,0.000264259737987607,0.00411720202026725,0.00820899751790769,0.00666506901226274,0.00769503182541066,-0.00811471541896717,-0.00768388594198817,0.000531686356854901
"MCP_28037",-0.185051710028555,-0.0745451887905043,-0.0338858749955261,0.0089457026872655,-0.0439357975505991,-0.0436222022263629,-0.00304751757444596,0.00323813838132397,-0.0498705791888255,-0.0403299104489175,0.0736893665001386,-0.00634066277928017,-0.0268312062600582,0.00537853493069591,-0.0304484750579936,0.0464558294520498,-0.00669084835363208,0.0107598024308757,-0.00341090719069137,0.00278227815331177,-0.00105892934669237,0.00433256998435679,-0.00774914251950925,-0.00622279564118454,0.0170912021427319,-0.00367809974748674,0.00379896448806878,-0.00614310955497414,0.0118883159525699,-0.00112018682884149
"MCZ_7726",-0.131889391141912,-0.0236850276909758,-0.169246267822125,0.0971549190841706,-0.0608983344438469,-0.0284833961225406,-0.00180968289470222,-0.028205005680027,-0.0333171736023053,-0.0172000250547074,0.03351545410379,-0.0191868756055799,-0.0241134343488951,-0.0198886639181345,-0.0232937006772638,0.0119044019087486,-0.033751866866691,-0.0299508938992935,0.0137437148774617,-0.0319079027113728,0.00728622628277032,0.023107789009149,-0.00346560169704433,-0.033940358724056,0.00136351475079225,0.000553237028652579,-0.00810544489623606,-0.0071980869090059,-0.00659536224878264,-0.00130752681181549
"MCP_19780",-0.149354758675731,-0.0159117030150111,-0.0446515284619313,-0.0470034205969609,0.0170687050571157,-0.0328320632540131,-0.0226855597405196,0.0371395308748567,-0.0752650113834804,0.0358876713978633,0.0351132093882539,-0.0140717435524605,0.0234802508735026,0.0273711527098357,-0.0227123759458443,0.032587434336563,-0.00400172774167516,-0.0156854892590395,-0.0262326848201438,-0.00801086642811365,-0.00141424504748159,0.0182438547465525,0.00761974171576523,0.00378318491091175,-0.00898354150571197,-0.00212869909196801,0.0095155646892809,-0.0112471724440272,0.000897689547286839,-0.00812168753718779
"MCP_38780",-0.213010688947684,-0.062327378108885,-0.0428158650684814,-0.0443385354625157,-0.0106546958129246,-0.0274896492520955,-0.0235573614466256,0.0307969798999096,-0.071159006473782,0.00817359584717329,-0.00853490488825908,0.0017907249937643,-0.0184300481350758,0.00671932401437665,0.0109894541743411,0.0145362331252363,-0.0124751440154353,-0.00830938418810252,-0.00254796424928989,-0.00429601668379521,-0.0166002047609387,0.00865139146128621,0.0062484507319385,0.0101654891000172,0.0184855911372751,-0.00221277471015672,-0.00074712016387522,-0.0180649756848671,-0.0081037995331337,0.00970961638531085
"MCP_39539",-0.196172023429524,-0.060789865431086,0.00284878985720552,-0.0193663710559026,0.00717491713600946,-0.042259677706385,-0.0207573639122195,0.0206962381541971,-0.0879167729102269,0.0295978609067178,0.0381389065608754,0.0188751334463831,-0.0156788267645307,0.0397070610929568,-0.025456047046727,0.0172172621571087,-0.0199297936143127,-0.0228510914213171,-0.0150613913353374,-0.0271611819844351,-0.0207857908637384,0.0220362112938627,0.0168674627357047,-0.0180708100053381,0.0144152529785113,0.0127255568452406,-0.00631640139681264,0.0085025125723494,0.00356259644086604,0.00127352136683411
"AMNH_240826",-0.0548190432963172,0.225995730129386,-0.0601127969135645,0.199865861011621,-0.0308110280818534,0.0165996639558109,0.0191924918329135,0.108219096531466,0.0552604318483325,-0.0500112588465995,0.0331084470703189,0.0569017157486606,0.0796452517553126,0.00927755382643183,-0.0682944854253081,-0.0252500438905441,0.00947032481295734,-0.0115290003186755,-0.00140433765163103,0.0217677647621212,0.0206172054283947,0.0102467217624182,0.000222046377028251,0.0113888935967221,-0.0029947001828392,0.00171086930302944,-0.00587702692748798,-0.00604770865653271,-0.00868114243725644,-0.0134578417153424
"AMNH_240827",-0.0280690084010072,0.17659343610317,-0.124101201442771,0.184090425308732,-0.0299308566559887,0.0445149328718023,0.0169706535150756,0.0103157881298943,0.0748721667424466,-0.0254547748144896,-0.0464875077909106,-0.0151156283737236,-0.022816510109204,0.00617408607039349,-0.0516373669715404,0.0555922493908819,0.0312351301617839,0.0331509687255434,-0.0084297726075473,0.0300804425899031,-0.0218282464661283,-0.0217738519800617,0.00920713833143241,-0.0443651346961337,0.0168575446690052,-0.00728178508584166,0.0113323556835657,0.00855695772354714,-0.000121082122007724,0.0141539673170147
"MCZ_88581",-0.0615721755956486,0.113441388015458,-0.155900766002063,0.108356917720417,-0.0778616463046059,0.0394967331926977,0.119088215892277,0.141430024281239,0.0739780425055091,-0.0347943086569574,-0.0073818595687302,0.0478061236633957,0.0691047143300587,0.0703647930538892,-0.0150866400105865,0.0359102148417782,-0.0557801755256945,0.0144606629764053,-0.00847305138062952,0.0275318258576169,-0.0129190228948115,0.000735929236145409,0.00412557000545317,-0.0177702777508959,0.0124307408984699,-0.00726990087444389,-0.00710562998733188,-0.00575497865622189,0.0121022211643586,-0.00580743667091658
"AMNH_261334",0.00528570580466315,0.129680397523608,0.0737182669351383,0.0345338035159213,-0.0136413651837813,-0.0020169469729861,0.00528629287280051,-0.0144754220577432,0.0156801542994305,-0.0185215163506321,0.0133900863121397,-0.0115233753451448,0.0141469100290367,0.00568217591150599,0.00808248182543093,0.0173264665296618,-0.00779033786826646,0.0280673671634332,0.0126829465514661,-0.0163819625481908,0.0222786250527476,0.00747255334796528,-0.0106516149274857,0.00523018767997312,-0.00225928688096566,-0.00344379516041027,-0.00184127158931902,0.00109146132180527,-0.000286997288424938,0.00370953518763146
