"","sp_rich","replicate","avg_nnd","sd_nnd","hv3d","hv6d","cd","comp1_cen","comp2_cen","comp3_cen","comp4_cen","comp5_cen","comp6_cen"
"1",2,1,0.283706121696182,0,NA,NA,0.257039814944469,0.0878843459656827,0.132719091037192,-0.05847814927872,0.0079955014897308,0.0091294455516037,-0.0151392912472018
"2",2,2,0.176475802222963,0.121558366313682,NA,NA,0.274913847613633,0.0506791204871925,-0.038790725498648,-0.0433392895517824,-0.0106353346974041,0.0928700675997165,-0.0433087138199079
"3",2,3,0.103931808383722,0,NA,NA,0.334739632012222,0.221599938636952,-0.118246337171677,0.0226305577324357,0.00648624466630062,0.0208695545115988,0.0527900335790801
"4",2,4,0.288119841334942,0,NA,NA,0.190103939234383,0.0146107283874702,0.0897888034113671,-0.012461856001955,0.0330741266855446,-0.0208129181209818,-0.06894229059619
"5",2,5,0.240129196982324,0,NA,NA,0.216920198639895,-0.133472385441708,0.039888125396733,0.0570903452322015,-0.0146162457053704,0.0102882009459759,-0.0198833096911033
"6",2,6,0.339669873755432,0,NA,NA,0.245053420041068,0.174348993701964,-0.0459060124216065,0.0676723880606445,0.032868835611257,0.0135566003800752,0.0075939521308253
"7",2,7,0.349595419761464,0,NA,NA,0.263748008262561,0.0233100186804005,-0.0716458117787485,0.0561461971648099,-0.050533641982085,0.00284262479789495,0.045498512876679
"8",2,8,0.476978608528989,0,NA,NA,0.367434248620212,0.191341977073879,-0.041203674047724,0.0375711485024302,0.0469248346392626,-0.00705669738729796,-0.033427281924749
"9",2,9,0.199965034924795,0.208139195121818,NA,NA,0.215874086928655,0.12622573049662,-0.0578040518454472,0.0280722676392795,-0.0596901950166074,-0.0163344877253231,-0.00740612800676024
"10",2,10,0.0897591593956929,0,NA,NA,0.087154090884788,-0.0334879514508592,-0.0044980794646443,0.0074130602192521,-0.0580746386129706,-0.0418669012912004,-0.026828151153876
"11",2,11,0.663828266027365,0,NA,NA,0.402351717668539,-0.111617841343356,-0.16483150727186,0.00108892258216699,0.0373077100716455,-0.0151809735900644,0.0039818661923021
"12",2,12,0.319082831037775,0,NA,NA,0.137793198399857,0.010274935099115,-0.0675652141029165,0.0163522770862993,-0.0521657192107575,0.0126558581007424,0.0280055669054262
"13",2,13,0.231482243866621,0,NA,NA,0.161979461263415,-0.0120754016534057,0.105763426817333,0.0926769032305544,0.0433417323373765,0.0266715441676067,0.0062863158505699
"14",2,14,0.266207528622436,0,NA,NA,0.213532226332116,0.151887105259599,-0.0332258347827591,-0.025835467470346,0.0161197152703843,-0.0478904933386794,-0.0131110910260266
"15",2,15,0.328170581520912,0,NA,NA,0.280969527897286,-0.0709952639356043,-0.0365558060236832,0.102571790155009,0.0249975191982598,0.0278229413375104,-0.0636124874272816
