"","sp_rich","assemblage","cell_long","cell_lat","country","locality","avg_nnd","sd_nnd","hv3d","hv6d","cd","comp1_cen","comp2_cen","comp3_cen","comp4_cen","comp5_cen","comp6_cen"
"1",2,"2019153",-63.2862380138587,8.21664419271403,"VE","Laguna Merecure, al SE de la Isla Grande del R. Orinoco y al NE. de Marjuanta",0.397783980758891,0,NA,NA,0.360186830023202,0.195479239553653,-0.0468574779329645,-0.00723002579002632,0.0122132372423632,-0.0676851487804092,0.0083278477079195
"2",2,"2036196",-69.2663628409285,8.18497435849127,"VE","Alcantarilla 7 km al Oeste de Guanarito",0.397783980758891,0,NA,NA,0.500609837729227,0.195479239553653,-0.0468574779329645,-0.00723002579002632,0.0122132372423632,-0.0676851487804092,0.0083278477079195
"3",2,"2054364",-63.5867988803839,8.15330697587746,"VE","Laguna Playa Blanca al lado del Rio Orinoco",0.0948482453480655,0,NA,NA,0.21148358701825,0.0694135540699685,0.139381844325891,-0.0196461805291825,-0.0320388731388519,-0.0301203292250526,-0.0453998516924733
"4",2,"2075845",-69.2249061696836,8.11372617994792,"VE","Prestamo al lado de la crta ( dique ) a Sta. Catalina, al E. de Pto. Nutrias",0.663574513428918,0,NA,NA,0.472963538685114,-0.00966622867584449,-0.143120181512611,0.00666285554062218,0.0489053093906453,-0.0302517675151592,0.02970391417348
"5",3,"2079714",-74.7801001164937,8.10581047684519,"CO","Cuenca Cauca. Río Cauca sector Nechí, cuenca baja",0.205241578979925,0.191206862667282,NA,NA,0.248970653615336,0.151717610096364,0.029940185556133,-0.0139288888427083,0.000596802079949099,-0.0401293291015911,-0.0133181778334118
"6",2,"2203758",-67.4837259773999,7.88423179573226,"VE","SIDE CHANNEL OF RIO APURE, ca. 5 km WEST OF SAN FERNANDO DE APURE",0.447898694579078,0,NA,NA,0.324224464719082,0.194512526991605,-0.0199997436964975,-0.0185224972314842,-0.0010165268083965,-0.0367522711180631,0.0121774158138914
"7",2,"2265095",-70.9349938585338,7.77348597600768,"VE","Rio Suripa a 1 Km rio abajo de la boca de Anaro",0.381798517746724,0,NA,NA,0.338209024278577,0.187513261412908,-0.0535967111929603,-0.0194729088673208,0.0317217613392344,-0.0529549339304443,0.0458208462373565
"8",2,"2327209",-66.3333033503553,7.66276860219391,"VE","Esteros de Camaguán",0.0893639991196772,0,NA,NA,0.283465940581941,0.0736660443961023,0.12208591035392,-0.0232582175517505,-0.0546714420835845,-0.044290091043804,-0.0303399063629001
"9",2,"2371148",-67.4837259773999,7.58370194429676,"VE","Venezuela, Apure, Rio Apure, side channel along dike opposite municipal slaughter-house",0.491216990298662,0,NA,NA,0.316906287322335,-0.131479423833396,0.025823206774273,-0.00936533622110205,-0.0179793699353023,-0.006856709778554,-0.00896383989733968
"10",2,"2375381",-69.2663628409285,7.57579605886403,"VE","Caño Caicara",0.447898694579078,0,NA,NA,0.26823983887494,0.194512526991605,-0.0199997436964975,-0.0185224972314842,-0.0010165268083965,-0.0367522711180631,0.0121774158138914
"11",3,"2379759",-69.5461953718313,7.56789031469675,"VE","Modulo Fernando Corrales UNELLEZ, dique Noreste",0.261644158950536,0.0181735723412188,NA,NA,0.28961303786853,0.191168838858083,-0.0535688783013886,0.0210884145303754,0.0267001750520054,-0.0208143480599551,-0.0248820175029413
"12",2,"2432621",-69.5254670362088,7.47303234724492,"VE","Modulos Fernando Corrales UNELLEZ, prestamo al lado del dique Interior 1,5 Km Oeste del dique",0.217121149696714,0,NA,NA,0.369881715706747,0.246503227691705,-0.195497132632263,0.0075315572943381,0.0823444492729545,-0.0395031000816957,-0.0276697647384827
